fr24_id,Timestamp_start,Flight_start,Aircraft_start,Origin_start,Destination_start,Altitude_start,Ground_Speed_start,Vertical_Speed_start,Lat_start,Lon_start,Source_start,ETA_start,distance_to_airport_start,operating_as_start,Timestamp_end,Flight_end,Aircraft_end,Origin_end,Destination_end,Altitude_end,Ground_Speed_end,Vertical_Speed_end,Lat_end,Lon_end,Source_end,ETA_end,distance_to_airport_end,operating_as_end,Start_end_Distance_km,Max_Possible_Distance_km_end,Distance_From_Airport_Start_km,Distance_From_Airport_End_km,Coord_end in Airport Bounds
392fca02,2025-02-20 06:00:00+00:00,TG960,A359,BKK,ARN,3075.0,235.0,-1728.0,59.60719,18.29857,MLAT,2025-02-20 06:03:56+00:00,20.81648791583159,THA,,,,,,,,,,,,,,,,,20.81648791583159,,
39308011,2025-02-20 06:00:00+00:00,SK904,A333,EWR,ARN,5275.0,252.0,-768.0,59.83887,18.14346,ADSB,2025-02-20 06:04:46+00:00,23.554557285845167,SAS,,,,,,,,,,,,,,,,,23.554557285845167,,
393084e3,2025-02-20 05:00:00+00:00,QR169,B788,DOH,ARN,39450.0,420.0,-1984.0,58.40672,20.46086,MLAT,2025-02-20 05:26:24+00:00,200.04992934658515,QTR,2025-02-20 05:30:00+00:00,QR169,B788,DOH,ARN,0.0,15.0,0.0,59.64822,17.92067,ADSB,,1.2278813380883102,QTR,200.44089786147322,13.89,200.04992934658515,1.2278813380883102,True
3930eafa,2025-02-20 10:30:00+00:00,CAO3105,A332,CTU,ARN,17375.0,385.0,-768.0,59.98473,20.44324,MLAT,2025-02-20 10:47:28+00:00,144.69867197729073,CAO,2025-02-20 11:00:00+00:00,CAO3105,A332,CTU,ARN,0.0,8.0,0.0,59.64045,17.93513,ADSB,,1.4797126752011478,CAO,145.35514827260945,7.408,144.69867197729073,1.4797126752011478,True
3930fa20,2025-02-20 10:30:00+00:00,SK958,A333,MIA,ARN,40250.0,494.0,-1024.0,60.05704,14.29194,ADSB,2025-02-20 10:52:48+00:00,208.5526343049594,SAS,,,,,,,,,,,,,,,,,208.5526343049594,,
39310bf0,2025-02-20 05:00:00+00:00,5O4408,B738,CDG,ARN,7425.0,280.0,-1600.0,59.60307,17.3833,ADSB,2025-02-20 05:08:43+00:00,31.78720219725909,FPO,,,,,,,,,,,,,,,,,31.78720219725909,,
3931152f,2025-02-20 05:00:00+00:00,5X282,B762,CGN,ARN,6425.0,264.0,-1344.0,59.72266,17.59082,ADSB,2025-02-20 05:07:46+00:00,21.03974829056566,SRR,,,,,,,,,,,,,,,,,21.03974829056566,,
39311de6,2025-02-20 05:00:00+00:00,,A306,LEJ,ARN,16675.0,340.0,-1920.0,59.06757,17.80912,ADSB,2025-02-20 05:17:56+00:00,65.57699809658425,ABR,,,,,,,,,,,,,,,,,65.57699809658425,,
39313576,2025-02-20 06:30:00+00:00,FR4617,B738,GDN,ARN,4175.0,188.0,-320.0,59.70266,18.55147,MLAT,2025-02-20 06:33:46+00:00,34.76826339454352,RYS,,,,,,,,,,,,,,,,,34.76826339454352,,
39313a52,2025-02-20 06:00:00+00:00,SK130,A20N,MMX,ARN,15575.0,299.0,-1920.0,58.79664,17.85562,ADSB,2025-02-20 06:17:07+00:00,95.40380608029834,SZS,,,,,,,,,,,,,,,,,95.40380608029834,,
39314035,2025-02-20 09:00:00+00:00,FR8923,B738,MLA,ARN,3800.0,245.0,-448.0,59.5984,18.32925,MLAT,2025-02-20 09:03:34+00:00,22.738244978175015,MAY,,,,,,,,,,,,,,,,,22.738244978175015,,
393142c1,2025-02-20 06:00:00+00:00,SK1,A20N,LLA,ARN,14625.0,344.0,-1984.0,60.30386,18.50922,ADSB,2025-02-20 06:15:07+00:00,78.94526722234346,SAS,,,,,,,,,,,,,,,,,78.94526722234346,,
393142dd,2025-02-20 05:30:00+00:00,SK27,A20N,UME,ARN,26375.0,466.0,-2560.0,60.90569,18.8338,ADSB,2025-02-20 05:59:17+00:00,147.69340042093287,SZS,2025-02-20 06:00:00+00:00,SK27,A20N,UME,ARN,0.0,0.0,0.0,59.65481,17.93516,ADSB,,0.2969865588022704,SZS,147.6463738628622,,147.69340042093287,0.2969865588022704,True
39314435,2025-02-20 05:30:00+00:00,SK1783,A20N,TLL,ARN,30025.0,429.0,0.0,59.57786,21.71349,MLAT,2025-02-20 05:56:16+00:00,212.37746375124755,SAS,,,,,,,,,,,,,,,,,212.37746375124755,,
39314439,2025-02-20 06:00:00+00:00,SK1741,CRJ9,VNO,ARN,27525.0,375.0,-2368.0,59.1812,20.27618,ADSB,2025-02-20 06:28:43+00:00,142.22029702855028,BCY,2025-02-20 06:30:00+00:00,SK1741,CRJ9,VNO,ARN,0.0,12.0,0.0,59.65305,17.92742,ADSB,,0.6985685095114181,BCY,142.85281246766763,11.112,142.22029702855028,0.6985685095114181,True
