fr24_id,Timestamp_start,Flight_start,Aircraft_start,Origin_start,Destination_start,Altitude_start,Ground_Speed_start,Vertical_Speed_start,Lat_start,Lon_start,Source_start,ETA_start,distance_to_airport_start,operating_as_start,Timestamp_end,Flight_end,Aircraft_end,Origin_end,Destination_end,Altitude_end,Ground_Speed_end,Vertical_Speed_end,Lat_end,Lon_end,Source_end,ETA_end,distance_to_airport_end,operating_as_end,Start_end_Distance_km,Max_Possible_Distance_km_end,Distance_From_Airport_Start_km,Distance_From_Airport_End_km,Coord_start in Airport Bounds
3931101c,2025-02-20 05:00:00+00:00,SK1415,A20N,ARN,CPH,0.0,0.0,0.0,59.65399,17.929,ADSB,,0.609636590579813,SZS,2025-02-20 05:30:00+00:00,SK1415,A20N,ARN,CPH,37750.0,444.0,-960.0,57.86398,15.03054,ADSB,2025-02-20 06:02:40+00:00,260.23396600836435,SZS,259.8698619901271,411.144,0.609636590579813,260.23396600836435,True
3931390f,2025-02-20 05:00:00+00:00,AF1463,BCS3,ARN,CDG,0.0,0.0,0.0,59.64437,17.92699,ADSB,,1.2490666721878334,AFR,2025-02-20 05:30:00+00:00,AF1463,BCS3,ARN,CDG,0.0,0.0,0.0,59.64373,17.92547,ADSB,2025-02-20 07:51:28+00:00,1.3567740824383203,AFR,0.11117683586959419,429.66400000000004,1.2490666721878334,1.3567740824383203,True
39313cd3,,,,,,,,,,,,,,,2025-02-20 05:30:00+00:00,SK1583,A20N,ARN,AGP,27250.0,500.0,1536.0,58.28636,16.72846,ADSB,2025-02-20 09:12:32+00:00,167.12328288942302,SZS,,463.0,,167.12328288942302,
39313d45,2025-02-20 05:00:00+00:00,CAO3157,A332,ARN,CDG,0.0,1.0,0.0,59.6563,17.94081,ADSB,,0.3113895792268388,CAO,2025-02-20 05:30:00+00:00,CAO3157,A332,ARN,CDG,31700.0,450.0,704.0,58.57645,15.86461,ADSB,2025-02-20 07:28:00+00:00,168.4322418167019,CAO,168.68664039192976,416.70000000000005,0.3113895792268388,168.4322418167019,True
3931418c,2025-02-20 05:00:00+00:00,FR7603,B38M,ARN,BUD,0.0,0.0,0.0,59.64695,17.92474,ADSB,,1.1203749457113235,RYR,2025-02-20 05:30:00+00:00,FR7603,B38M,ARN,BUD,39000.0,485.0,0.0,56.98421,17.33574,ADSB,2025-02-20 06:56:00+00:00,298.9021817955155,RYR,298.0716525942739,449.11,1.1203749457113235,298.9021817955155,True
39314404,2025-02-20 05:00:00+00:00,SK481,A20N,ARN,OSL,0.0,0.0,0.0,59.65432,17.93243,ADSB,,0.42378570994999065,SZS,2025-02-20 05:30:00+00:00,SK481,A20N,ARN,OSL,34000.0,395.0,-64.0,59.84734,14.61429,ADSB,2025-02-20 05:56:16+00:00,187.50587602520898,SZS,187.08297699857673,365.77000000000004,0.42378570994999065,187.50587602520898,True
39314450,2025-02-20 05:00:00+00:00,OS318,A320,ARN,VIE,0.0,0.0,0.0,59.65345,17.93807,ADSB,,0.09865538277014317,AUA,2025-02-20 05:30:00+00:00,OS318,A320,ARN,VIE,0.0,0.0,0.0,59.65345,17.93805,ADSB,2025-02-20 07:49:20+00:00,0.09977257208305085,AUA,0.0011235778619475287,142.604,0.09865538277014317,0.09977257208305085,True
39314555,,,,,,,,,,,,,,,2025-02-20 05:30:00+00:00,FR4626,B738,ARN,KRK,30000.0,481.0,1472.0,58.54344,17.52284,ADSB,2025-02-20 06:53:52+00:00,125.71308523413879,RYR,,445.406,,125.71308523413879,
3931472a,,,,,,,,,,,,,,,2025-02-20 05:30:00+00:00,FR4688,B38M,ARN,ALC,18675.0,384.0,1856.0,59.20308,17.18985,ADSB,2025-02-20 09:01:52+00:00,65.63421811680419,MAY,,355.584,,65.63421811680419,
39314810,,,,,,,,,,,,,,,2025-02-20 05:30:00+00:00,SK1805,A20N,ARN,PMI,25725.0,442.0,1536.0,58.86889,17.08497,ADSB,2025-02-20 08:34:08+00:00,99.86288835913035,SZS,,409.29200000000003,,99.86288835913035,
39314873,,,,,,,,,,,,,,,2025-02-20 08:00:00+00:00,HP302,F50,ARN,OER,2400.0,158.0,0.0,59.60353,17.86312,MLAT,,7.0371700462598525,APF,,146.30800000000002,,7.0371700462598525,
39314fef,2025-02-20 05:30:00+00:00,SK1827,A20N,ARN,NCE,0.0,15.0,0.0,59.65746,17.92424,ADSB,,0.9773004387893979,SAS,2025-02-20 06:00:00+00:00,SK1827,A20N,ARN,NCE,36000.0,464.0,0.0,56.72333,15.48841,ADSB,2025-02-20 08:17:04+00:00,356.04196597966853,SAS,356.07082359105334,429.66400000000004,0.9773004387893979,356.04196597966853,True
39314ff9,2025-02-20 05:30:00+00:00,SN2298,A320,ARN,BRU,0.0,0.0,0.0,59.65307,17.93802,ADSB,,0.11388611793725502,BEL,2025-02-20 06:00:00+00:00,SN2298,A320,ARN,BRU,0.0,18.0,0.0,59.65803,17.92433,ADSB,2025-02-20 07:57:52+00:00,1.0027370789244252,BEL,0.9463644891659281,16.668,0.11388611793725502,1.0027370789244252,True
