Flight,Departure Time,Arrival Time,Origin Code,Airline,Origin Full
AY 825,23:50,23:50,HEL,Finnair,Helsinki
SK 1428,23:00,00:10,CPH,SAS,Copenhagen
FR 9796,19:10,00:15,RAK,Ryanair / Operated by Malta Air on behalf of Ryanair,Marrakech
FR 4687,20:00,00:15,AGP,Ryanair / Operated by Malta Air on behalf of Ryanair,Malaga
SK 534,21:05,00:30,LHR,SAS / Operated by SAS Connect on behalf of SAS,London
6B 648,15:15,00:40,SID,TUIfly Nordic,Sal
FR 8418,21:40,00:55,TIA,Ryanair / Operated by Malta Air on behalf of Ryanair,Tirana
D8* 8862,03:30,04:45,CPH,Norwegian Air Sweden,Copenhagen
CAO 3157,02:00,04:50,CTU,Air China Cargo,Chengdu
ET 714,23:40,05:40,ADD,Ethiopian Airlines,Addis Ababa
CAO 3143,03:00,05:50,CTU,Air China Cargo,Chengdu
QR 169,01:35,06:30,DOH,Qatar Airways,Doha
TG 960,00:05,06:45,BKK,Thai Airways International,Bangkok
SK 1783,07:00,07:00,TLL,SAS,Tallinn
AY 801,07:00,07:10,HEL,Finnair,Helsinki
SK 904,17:30,07:20,EWR,SAS,Newark
BT 101,07:10,07:20,RIX,Air Baltic,Riga
FR 4617,05:55,07:25,GDN,Ryanair / Operated by Buzz on behalf of Ryanair,Gdansk
W6 1731,06:00,07:30,GDN,Wizz Air,Gdansk
FR 7679,06:00,07:35,POZ,Ryanair / Operated by Buzz on behalf of Ryanair,Poznan
SK 27,06:50,08:00,UME,SAS / Operated by SAS Connect on behalf of SAS,Umea
SK 402,07:00,08:15,CPH,SAS,Copenhagen
SK 1,07:00,08:25,LLA,SAS,Lulea
SK 400,07:20,08:30,CPH,SAS,Copenhagen
DY 804,07:30,08:40,OSL,Norwegian / Operated by Norwegian Air Sweden on behalf of Norwegian,Oslo
FR 4649,06:20,08:45,FKB,Ryanair / Operated by Malta Air on behalf of Ryanair,Karlsruhe/Baden-Baden
SK 1489,06:45,08:45,TOS,SAS,Tromso
SK 86,08:00,08:50,VBY,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Visby
KL 1215,06:55,09:00,AMS,KLM / Operated by KLM Cityhopper on behalf of KLM,Amsterdam
LH 800,06:55,09:05,FRA,Lufthansa,Frankfurt
JU 380,06:30,09:10,BEG,Air Serbia / Operated by GetJet Airlines on behalf of Air Serbia,Belgrade
