Flight,Departure Time,Arrival Time,Destination Code,Airline,Destination Full,Status
D8744,05:25,08:15,GNB,Norwegian Air Sweden,Grenoble,Common
FR1608,05:45,08:25,TSF,Ryanair / Operated by Malta Air on behalf of Ryanair,Venice,Common
FR4691,06:00,10:15,SKG,Ryanair / Operated by Malta Air on behalf of Ryanair,Thessaloniki,Common
SK1805,06:00,09:40,PMI,SAS / Operated by SAS Connect on behalf of SAS,Palma de Mallorca,Common
FR1608,05:45,08:25,TSF,Ryanair / Operated by Malta Air on behalf of Ryanair,Venice,Common
SK7935,05:55,08:10,SZG,SAS,Salzburg,Common
FR4691,06:00,10:15,SKG,Ryanair / Operated by Malta Air on behalf of Ryanair,Thessaloniki,Common
SK1805,06:00,09:40,PMI,SAS / Operated by SAS Connect on behalf of SAS,Palma de Mallorca,Common
SK1415,06:00,07:15,CPH,SAS / Operated by SAS Connect on behalf of SAS,Copenhagen,Common
FR316,06:00,09:15,OPO,Ryanair / Operated by Malta Air on behalf of Ryanair,Porto,Common
SK481,06:00,07:00,OSL,SAS,Oslo,Common
EW4644,06:05,08:55,TRN,Eurowings / Operated by Eurowings Europe on behalf of Eurowings,Turin,Common
AF1463,06:10,09:00,CDG,Air France,Paris,Common
SK1583,06:10,10:35,AGP,SAS,Malaga,Common
LX1255,06:10,08:35,ZRH,Swiss,Zurich,Common
IB826,06:15,10:20,MAD,Iberia,Madrid,Common
AY826,06:20,08:15,HEL,Finnair,Helsinki,Common
SK1827,06:20,09:20,NCE,SAS,Nice,Common
FR7603,06:20,08:40,BUD,Ryanair / Operated by Malta Air on behalf of Ryanair,Budapest,Common
KL1214,06:30,08:40,AMS,KLM,Amsterdam,Common
SN2298,06:30,08:45,BRU,Brussels Airlines,Brussels,Common
LH809,06:35,08:50,FRA,Lufthansa,Frankfurt,Common
OS318,06:35,08:50,VIE,Austrian,Vienna,Common
ET714,06:40,07:45,OSL,Ethiopian Airlines,Oslo,Common
SK7977,06:50,09:05,SZG,SAS,Salzburg,Common
SK1417,07:00,08:15,CPH,SAS,Copenhagen,Common
D8321,07:00,10:00,NCE,Norwegian Air Sweden,Nice,Common
6B251,07:15,12:20,LPA,TUIfly Nordic,Las Palmas,Common
BA771,07:15,09:15,LHR,British Airways,London,Common
SK1853,07:20,11:20,ALC,SAS / Operated by SAS Connect on behalf of SAS,Alicante,Common
SK605,07:20,09:45,ZRH,SAS / Operated by SAS Connect on behalf of SAS,Zurich,Common
D8281,07:30,09:25,HEL,Norwegian Air Sweden,Helsinki,Common
DY898,07:30,11:00,FAO,Norwegian / Operated by Norwegian Air Sweden on behalf of Norwegian,Faro,Common
SK1004,07:40,09:00,LLA,SAS / Operated by CityJet on behalf of SAS,Lulea,Common
SK2943,07:40,11:10,FAO,SAS,Faro,Common
D8221,07:40,12:00,AGP,Norwegian Air Sweden,Malaga,Common
SK2151,07:45,09:00,GOT,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Gothenburg,Common
LH2421,07:45,10:00,MUC,Lufthansa,Munich,Common
AY802,07:55,09:50,HEL,Finnair,Helsinki,Common
SK66,07:55,08:55,OSD,SAS / Operated by SAS Connect on behalf of SAS,Ostersund,Common
SK2098,07:55,13:05,TFS,SAS / Operated by SAS Connect on behalf of SAS,Tenerife,Common
BT102,08:00,10:05,RIX,Air Baltic,Riga,Common
FR4616,08:00,09:20,GDN,Ryanair / Operated by Buzz on behalf of Ryanair,Gdansk,Common
FR7678,08:05,09:40,POZ,Ryanair / Operated by Buzz on behalf of Ryanair,Poznan,Common
W61732,08:05,09:25,GDN,Wizz Air,Gdansk,Common
D8718,08:10,10:40,VRN,Norwegian Air Sweden,Verona,Common
SK14,08:10,09:30,LLA,SAS,Lulea,Common
QR170,08:10,16:25,DOH,Qatar Airways,Doha,Common
SK708,08:15,10:30,HEL,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Helsinki,Common
D8241,08:20,13:15,LPA,Norwegian Air Sweden,Las Palmas,Common
SK843,08:25,09:25,OSL,SAS,Oslo,Common
SK401,08:30,09:40,CPH,SAS / Operated by SAS Connect on behalf of SAS,Copenhagen,Common
LX1239,08:35,11:20,GVA,Swiss,Geneva,Common
SK1040,08:50,10:30,KRN,SAS / Operated by SAS Connect on behalf of SAS,Kiruna,Common
SK7881,08:50,11:05,SZG,SAS,Salzburg,Common
SK105,08:50,10:20,MMX,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Malmo,Common
SK557,08:50,11:00,AMS,SAS / Operated by CityJet on behalf of SAS,Amsterdam,Common
SK7905,09:00,11:20,INN,SAS,Innsbruck,Common
SK77,09:05,09:50,VBY,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Visby,Common
SK403,09:05,10:20,CPH,SAS,Copenhagen,Common
SK2505,09:10,14:35,AGA,SAS / Operated by SAS Connect on behalf of SAS,Agadir,Common
DY805,09:10,10:10,OSL,Norwegian / Operated by Norwegian Air Sweden on behalf of Norwegian,Oslo,Common
FR4648,09:20,11:40,FKB,Ryanair / Operated by Malta Air on behalf of Ryanair,Karlsruhe/Baden-Baden,Common
SK7243,09:20,11:40,INN,SAS,Innsbruck,Common
SK7201,09:20,11:35,SZG,SAS,Salzburg,Common
SK689,09:25,12:05,LIN,SAS / Operated by SAS Connect on behalf of SAS,Milan,Common
SK2615,09:25,12:10,GVA,SAS,Geneva,Common
SK7515,09:25,11:45,INN,SAS,Innsbruck,Common
SK7943,09:45,12:05,INN,SAS,Innsbruck,Common
KL1216,09:45,12:00,AMS,KLM / Operated by KLM Cityhopper on behalf of KLM,Amsterdam,Common
D8701,09:45,14:35,LPA,Norwegian Air Sweden,Las Palmas,Common
LH801,09:50,12:05,FRA,Lufthansa,Frankfurt,Common
SK1819,09:55,15:05,LPA,SAS / Operated by SAS Connect on behalf of SAS,Las Palmas,Common
SK1419,09:55,11:05,CPH,SAS / Operated by SAS Connect on behalf of SAS,Copenhagen,Common
FR7618,10:15,14:05,PMI,Ryanair,Palma de Mallorca,Common
SK79,10:25,11:10,VBY,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Visby,Common
FR3077,10:30,14:05,BCN,Ryanair,Barcelona,Common
LO454,10:35,12:15,WAW,LOT Polish Airlines,Warsaw,Common
VY1266,10:35,14:15,BCN,Vueling,Barcelona,Common
SK903,10:45,13:35,EWR,SAS,Newark,Common
D8455,10:45,12:20,LGW,Norwegian Air Sweden,London,Common
SK1421,10:50,12:00,CPH,SAS,Copenhagen,Common
D8269,11:10,16:25,TFS,Norwegian Air Sweden,Tenerife,Common
D8527,11:10,16:20,RAK,Norwegian Air Sweden,Marrakech,Common
SK531,11:15,12:55,LHR,SAS / Operated by SAS Connect on behalf of SAS,London,Common
PC1280,11:20,16:55,SAW,Pegasus,Istanbul,Common
SK165,11:25,12:40,GOT,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Gothenburg,Common
BA777,11:25,13:20,LHR,British Airways,London,Common
KL1218,11:30,13:40,AMS,KLM,Amsterdam,Common
LX1235,11:35,14:20,GVA,Swiss,Geneva,Common
SK2277,11:40,12:50,ESKS,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Salen,Common
D8351,11:50,15:50,ALC,Norwegian Air Sweden / Operated by Norwegian on behalf of Norwegian Air Sweden,Alicante,Common
SK1774,11:50,13:50,TLL,SAS,Tallinn,Common
SK8,11:55,13:15,LLA,SAS / Operated by CityJet on behalf of SAS,Lulea,Common
PC1280,11:20,16:55,SAW,Pegasus,Istanbul,Common
SK2277,11:40,12:50,ESKS,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Salen,Common
D8351,11:50,15:50,ALC,Norwegian Air Sweden / Operated by Norwegian on behalf of Norwegian Air Sweden,Alicante,Common
FR4692,12:10,13:40,STN,Ryanair,London,Common
FR4640,12:15,14:20,RIX,Ryanair / Operated by Malta Air on behalf of Ryanair,Riga,Common
